Star_Schema_Table,Table_Type,Column_Name,Source_FSDM_Entity,Source_BVF_Data_Requirement,Source_BVF_Capabilities,Coverage_Status
FACT_CUSTOMER_PROFITABILITY,FACT,Interest_Income_Amt,MONETARY_TRANSACTION,Financial Transactions,Accounting Hub; Functional P&L; Profitability Modelling,FULL
FACT_CUSTOMER_PROFITABILITY,FACT,Interest_Income_Amt,MONETARY_TRANSACTION,Account Balances,Accounting Hub; Functional P&L; Profitability Modelling,FULL
FACT_CUSTOMER_PROFITABILITY,FACT,Interest_Income_Amt,AGREEMENT_SUMMARY,Financial Transactions,Accounting Hub; Functional P&L; Profitability Modelling,FULL
FACT_CUSTOMER_PROFITABILITY,FACT,Interest_Income_Amt,AGREEMENT_SUMMARY,Account Balances,Accounting Hub; Functional P&L; Profitability Modelling,FULL
FACT_CUSTOMER_PROFITABILITY,FACT,Interest_Expense_Amt,MONETARY_TRANSACTION,Financial Transactions,Accounting Hub; Functional P&L,FULL
FACT_CUSTOMER_PROFITABILITY,FACT,Interest_Expense_Amt,MONETARY_TRANSACTION,Account Balances,Accounting Hub; Functional P&L,FULL
FACT_CUSTOMER_PROFITABILITY,FACT,Interest_Expense_Amt,AGREEMENT_SUMMARY,Financial Transactions,Accounting Hub; Functional P&L,FULL
FACT_CUSTOMER_PROFITABILITY,FACT,Interest_Expense_Amt,AGREEMENT_SUMMARY,Account Balances,Accounting Hub; Functional P&L,FULL
FACT_CUSTOMER_PROFITABILITY,FACT,Net_Interest_Income_Amt,AGREEMENT_SUMMARY,Account Balances,Functional P&L; Profitability Modelling,FULL
FACT_CUSTOMER_PROFITABILITY,FACT,FTP_Credit_Amt,FUND_TRANSFER_PRICING,Master & Ref Data - FTP rates,Funds Transfer Pricing,FULL
FACT_CUSTOMER_PROFITABILITY,FACT,FTP_Charge_Amt,FUND_TRANSFER_PRICING,Master & Ref Data - FTP rates,Funds Transfer Pricing,FULL
FACT_CUSTOMER_PROFITABILITY,FACT,Net_FTP_Amt,FUND_TRANSFER_PRICING,Master & Ref Data - FTP rates,Funds Transfer Pricing; Profitability Modelling,FULL
