BACR_Question_ID,BACR_Category,BACR_Section,BACR_Question_Short,BVF_Capability,BVF_Area,BVF_Sub_Area,Match_Score,Match_Method,Is_Profitability_Critical,Business_Functions
552,Outcomes,Analytic Capabilities,single view of customer across the organisation?,Single Interaction View of Customer,Marketing and Customer Experience,Delivery of Insight to Channels,0.95,direct_mapping,False,Customer
553,Outcomes,Analytic Capabilities,Multi-dimensional customer view (360 degree view of customer,Single Interaction View of Customer,Marketing and Customer Experience,Delivery of Insight to Channels,0.95,direct_mapping,False,Customer
554,Outcomes,Analytic Capabilities,solid understanding of customer value and profitability?,Customer Value,Marketing and Customer Experience,Customer Insight,0.95,direct_mapping,True,Customer
555,Outcomes,Analytic Capabilities,Customer Satisfaction Index,NPS MI & Drill Down,Marketing and Customer Experience,Reporting & Continuous Improvement,0.95,direct_mapping,False,Customer
556,Outcomes,Analytic Capabilities,Customer Experience Analytic,Channel Support & Engagement,Marketing and Customer Experience,Delivery of Insight to Channels,0.95,direct_mapping,False,Customer
557,Outcomes,Analytic Capabilities,Customer Journey analytic,Single Interaction View of Customer,Marketing and Customer Experience,Delivery of Insight to Channels,0.95,direct_mapping,False,Customer
558,Outcomes,Analytic Capabilities,Event Analytics,Event Detection,Marketing and Customer Experience,Customer Insight,0.95,direct_mapping,False,Customer
559,Outcomes,Analytic Capabilities,Customer Segmentation,Customer Segmentation,Marketing and Customer Experience,Customer Insight,0.95,direct_mapping,False,Customer
560,Outcomes,Analytic Capabilities,Customer Connection Analytics,Customer Managed Relationships,Marketing and Customer Experience,Customer Insight,0.95,direct_mapping,False,Customer
561,Outcomes,Analytic Capabilities,Behaviour/Preference Analytics,Predictive Models,Marketing and Customer Experience,Customer Insight,0.95,direct_mapping,False,Customer
562,Outcomes,Analytic Capabilities,Customer Life Stage Analytics,Predictive Models,Marketing and Customer Experience,Customer Insight,0.95,direct_mapping,False,Customer
563,Outcomes,Analytic Capabilities,Customer Acquisition,Insight Led Customer Strategy,Marketing and Customer Experience,Customer Insight,0.95,direct_mapping,False,Customer
564,Outcomes,Analytic Capabilities,Customer Onboarding and Development,Insight Led Customer Strategy,Marketing and Customer Experience,Customer Insight,0.95,direct_mapping,False,Customer
565,Outcomes,Analytic Capabilities,Customer Retention analytics,Attrition Root Cause Analysis MI,Marketing and Customer Experience,Reporting & Continuous Improvement,0.95,direct_mapping,False,Customer
566,Outcomes,Analytic Capabilities,Customer Churn analytics,Attrition Root Cause Analysis MI,Marketing and Customer Experience,Reporting & Continuous Improvement,0.95,direct_mapping,False,Customer
567,Outcomes,Analytic Capabilities,Customer Re-Engagement analytics,Insight Led Customer Strategy,Marketing and Customer Experience,Customer Insight,0.95,direct_mapping,False,Customer
568,Outcomes,Analytic Capabilities,Analytics to create Customer Loyalty,Insight Led Customer Strategy,Marketing and Customer Experience,Customer Insight,0.95,direct_mapping,False,Customer
569,Outcomes,Analytic Capabilities,Cross-sell / Up-sell analytics,Lead & Contact Management,Marketing and Customer Experience,Delivery of Insight to Channels,0.95,direct_mapping,False,Customer
570,Outcomes,Analytic Capabilities,Contact Optimization analytics,Scope of Contact,Marketing and Customer Experience,Define & Deploy Business Rules,0.95,direct_mapping,False,Customer
571,Outcomes,Analytic Capabilities,Response Optimization,Omni Channel Campaign Management,Marketing and Customer Experience,Define & Deploy Business Rules,0.95,direct_mapping,False,Customer
572,Outcomes,Analytic Capabilities,Cross Channel Customer Experience analytics,Channel Coverage,Marketing and Customer Experience,Delivery of Insight to Channels,0.95,direct_mapping,False,Customer
573,Outcomes,Analytic Capabilities,Contextual Decisioning,Contextual Decisioning,Marketing and Customer Experience,Delivery of Insight to Channels,0.95,direct_mapping,False,Customer
574,Outcomes,Analytic Capabilities,Call/Contact Center Optimization,Channel Support & Engagement,Marketing and Customer Experience,Delivery of Insight to Channels,0.95,direct_mapping,False,Customer
575,Outcomes,Analytic Capabilities,Digital optimisation,Real Time Omni-Channel  Integration,Marketing and Customer Experience,Delivery of Insight to Channels,0.95,direct_mapping,False,Customer
576,Outcomes,Analytic Capabilities,Search Engine Optimization,Direct Customer Access to Information Products,Marketing and Customer Experience,Delivery of Insight to Channels,0.95,direct_mapping,False,Customer
577,Outcomes,Analytic Capabilities,Personalization of offers,Personalisation,Marketing and Customer Experience,Define & Deploy Business Rules,0.95,direct_mapping,False,Customer
578,Outcomes,Analytic Capabilities,Next Best Action Arbitration,Next Best Action Arbitration,Marketing and Customer Experience,Delivery of Insight to Channels,0.95,direct_mapping,False,Customer
