BACR_Question_ID,BACR_Section,Question_Short,FSDM_Domains,FSDM_Key_Entities,BVF_Data_Requirements,Profitability_Impact,Maturity_Level_Required_For_Profitability
43,Summary,Do the business users have access to the data they need to complete their reporting and analysis?,Party; Agreement; Event; Product; Location,PARTY; AGREEMENT; EVENT; PRODUCT; GEOGRAPHICAL_AREA,Single Customer View (Master Record); Customer Demographics,Overall data accessibility determines profitability data availability,2
44,Summary,"Have you considered the impact of “big data” on your data integration; e.g., are you able to link so",Party; Agreement; Event; Product; Location,PARTY; AGREEMENT; EVENT; PRODUCT; GEOGRAPHICAL_AREA,Single Customer View (Master Record); Customer Demographics,Overall data accessibility determines profitability data availability,2
45,Summary,How effective are the security and privacy management policies and processes of your organisation?,Party; Agreement; Event; Product; Location,PARTY; AGREEMENT; EVENT; PRODUCT; GEOGRAPHICAL_AREA,Single Customer View (Master Record); Customer Demographics,Overall data accessibility determines profitability data availability,2
46,Summary,How often is data updated?  Are there certain data only available or updated daily or weekly?,Party; Agreement; Event; Product; Location,PARTY; AGREEMENT; EVENT; PRODUCT; GEOGRAPHICAL_AREA,Single Customer View (Master Record); Customer Demographics,Overall data accessibility determines profitability data availability,2
47,Summary,Is the data in the analytics ecosystem of sufficient quality to meet most business analytics needs?,Party; Agreement; Event; Product; Location,PARTY; AGREEMENT; EVENT; PRODUCT; GEOGRAPHICAL_AREA,Single Customer View (Master Record); Customer Demographics,Overall data accessibility determines profitability data availability,2
48,Summary,How much historical data is immediately available (not archived) for online analysis?  Does the amou,Party; Agreement; Event; Product; Location,PARTY; AGREEMENT; EVENT; PRODUCT; GEOGRAPHICAL_AREA,Single Customer View (Master Record); Customer Demographics,Overall data accessibility determines profitability data availability,2
49,Strategy,Does your organisation have a defined information or data strategy.  Is that strategy capable of dea,Party; Agreement; Event; Product; Location,All domains,,Data strategy maturity determines long-term profitability engine evolution,2
50,Strategy,Do you operate with an underlying principle that data is a corporate asset?  How is this manifested ,Party; Agreement; Event; Product; Location,All domains,,Data strategy maturity determines long-term profitability engine evolution,2
51,Roadmap,Do you have a planned sequence to load new sources of data?  Is this sequence well known and agreed ,Party; Agreement; Event; Product; Location,All domains,,Implementation planning enables phased profitability build-out,2
52,Architecture,Is there an information architecture and corresponding data model(s) that guides where each differen,Party; Agreement; Event; Product; Location; Channel,All 3933 entities - architecture assessment,Single Customer View (Master Record); Master & Reference Data - product; Master & Reference Data - geography / location,Architecture maturity determines if FSDM can be deployed as integrated model vs siloed,3
53,Architecture,Can data and analytics users easily find out where data is stored and how it is structured?,Party; Agreement; Event; Product; Location; Channel,All 3933 entities - architecture assessment,Single Customer View (Master Record); Master & Reference Data - product; Master & Reference Data - geography / location,Architecture maturity determines if FSDM can be deployed as integrated model vs siloed,3
54,Architecture,"Is data stored for analytics in a logically integrated manner, even if spread across multiple platfo",Party; Agreement; Event; Product; Location; Channel,All 3933 entities - architecture assessment,Single Customer View (Master Record); Master & Reference Data - product; Master & Reference Data - geography / location,Architecture maturity determines if FSDM can be deployed as integrated model vs siloed,3
55,Architecture,Is relational data stored in an integrated data model of some type?  What type?,Party; Agreement; Event; Product; Location; Channel,All 3933 entities - architecture assessment,Single Customer View (Master Record); Master & Reference Data - product; Master & Reference Data - geography / location,Architecture maturity determines if FSDM can be deployed as integrated model vs siloed,3
56,Architecture,"Is non-relational multi-structured data stored in an organised, formatted, logical manner or stored ",Party; Agreement; Event; Product; Location; Channel,All 3933 entities - architecture assessment,Single Customer View (Master Record); Master & Reference Data - product; Master & Reference Data - geography / location,Architecture maturity determines if FSDM can be deployed as integrated model vs siloed,3
57,Architecture,"Can anyone load data into any analytic ecosystem, or only into data lab areas?  If anyone can load d",Party; Agreement; Event; Product; Location; Channel,All 3933 entities - architecture assessment,Single Customer View (Master Record); Master & Reference Data - product; Master & Reference Data - geography / location,Architecture maturity determines if FSDM can be deployed as integrated model vs siloed,3
58,Master Data Management,"How is reference and master data managed?  Is this centralised and shared, or maintained by individu",Party; Product; Location; Agreement,PARTY; INDIVIDUAL; ORGANIZATION; PRODUCT; GEOGRAPHICAL_AREA; CURRENCY,Single Customer View (Master Record); Master & Reference Data - product; Master & Reference Data - geography / location; Master & Reference Data - staff / colleague; Master & Reference Data - Channel; Master & Reference Data - Campaign; Master & Reference Data - FTP rates; Master & Reference Data - exchange rates; Master & Reference Data - merchant / transaction; Master & Reference Data - organisation hierarchy; Master & Reference Data - Risk Policy Rules,MDM maturity determines quality of dimension data in profitability star schema,3
59,Master Data Management,How do you define reference and master data within your major transactional applications?  Within yo,Party; Product; Location; Agreement,PARTY; INDIVIDUAL; ORGANIZATION; PRODUCT; GEOGRAPHICAL_AREA; CURRENCY,Single Customer View (Master Record); Master & Reference Data - product; Master & Reference Data - geography / location; Master & Reference Data - staff / colleague; Master & Reference Data - Channel; Master & Reference Data - Campaign; Master & Reference Data - FTP rates; Master & Reference Data - exchange rates; Master & Reference Data - merchant / transaction; Master & Reference Data - organisation hierarchy; Master & Reference Data - Risk Policy Rules,MDM maturity determines quality of dimension data in profitability star schema,3
60,Master Data Management,What processes are in place to ensure reference data is consistent and that you have visibility to t,Party; Product; Location; Agreement,PARTY; INDIVIDUAL; ORGANIZATION; PRODUCT; GEOGRAPHICAL_AREA; CURRENCY,Single Customer View (Master Record); Master & Reference Data - product; Master & Reference Data - geography / location; Master & Reference Data - staff / colleague; Master & Reference Data - Channel; Master & Reference Data - Campaign; Master & Reference Data - FTP rates; Master & Reference Data - exchange rates; Master & Reference Data - merchant / transaction; Master & Reference Data - organisation hierarchy; Master & Reference Data - Risk Policy Rules,MDM maturity determines quality of dimension data in profitability star schema,3
61,Master Data Management,How would you describe the state of master data at your company?  How are master data updates commun,Party; Product; Location; Agreement,PARTY; INDIVIDUAL; ORGANIZATION; PRODUCT; GEOGRAPHICAL_AREA; CURRENCY,Single Customer View (Master Record); Master & Reference Data - product; Master & Reference Data - geography / location; Master & Reference Data - staff / colleague; Master & Reference Data - Channel; Master & Reference Data - Campaign; Master & Reference Data - FTP rates; Master & Reference Data - exchange rates; Master & Reference Data - merchant / transaction; Master & Reference Data - organisation hierarchy; Master & Reference Data - Risk Policy Rules,MDM maturity determines quality of dimension data in profitability star schema,3
62,Master Data Management,Are your existing data governance policies adequately addressing the naming standards necessary for ,Party; Product; Location; Agreement,PARTY; INDIVIDUAL; ORGANIZATION; PRODUCT; GEOGRAPHICAL_AREA; CURRENCY,Single Customer View (Master Record); Master & Reference Data - product; Master & Reference Data - geography / location; Master & Reference Data - staff / colleague; Master & Reference Data - Channel; Master & Reference Data - Campaign; Master & Reference Data - FTP rates; Master & Reference Data - exchange rates; Master & Reference Data - merchant / transaction; Master & Reference Data - organisation hierarchy; Master & Reference Data - Risk Policy Rules,MDM maturity determines quality of dimension data in profitability star schema,3
63,Master Data Management,Do you have data owners identified for your master data domains?,Party; Product; Location; Agreement,PARTY; INDIVIDUAL; ORGANIZATION; PRODUCT; GEOGRAPHICAL_AREA; CURRENCY,Single Customer View (Master Record); Master & Reference Data - product; Master & Reference Data - geography / location; Master & Reference Data - staff / colleague; Master & Reference Data - Channel; Master & Reference Data - Campaign; Master & Reference Data - FTP rates; Master & Reference Data - exchange rates; Master & Reference Data - merchant / transaction; Master & Reference Data - organisation hierarchy; Master & Reference Data - Risk Policy Rules,MDM maturity determines quality of dimension data in profitability star schema,3
64,Master Data Management,"Have you considered the impact of “big data” on your master data; e.g., are you able to link social ",Party; Product; Location; Agreement,PARTY; INDIVIDUAL; ORGANIZATION; PRODUCT; GEOGRAPHICAL_AREA; CURRENCY,Single Customer View (Master Record); Master & Reference Data - product; Master & Reference Data - geography / location; Master & Reference Data - staff / colleague; Master & Reference Data - Channel; Master & Reference Data - Campaign; Master & Reference Data - FTP rates; Master & Reference Data - exchange rates; Master & Reference Data - merchant / transaction; Master & Reference Data - organisation hierarchy; Master & Reference Data - Risk Policy Rules,MDM maturity determines quality of dimension data in profitability star schema,3
65,Master Data Management,Do you have enterprise business process workflows for each line of business involved in the data gov,Party; Product; Location; Agreement,PARTY; INDIVIDUAL; ORGANIZATION; PRODUCT; GEOGRAPHICAL_AREA; CURRENCY,Single Customer View (Master Record); Master & Reference Data - product; Master & Reference Data - geography / location; Master & Reference Data - staff / colleague; Master & Reference Data - Channel; Master & Reference Data - Campaign; Master & Reference Data - FTP rates; Master & Reference Data - exchange rates; Master & Reference Data - merchant / transaction; Master & Reference Data - organisation hierarchy; Master & Reference Data - Risk Policy Rules,MDM maturity determines quality of dimension data in profitability star schema,3
66,Master Data Management,Are the master data requirements for all major lines of business known? Are these master data items ,Party; Product; Location; Agreement,PARTY; INDIVIDUAL; ORGANIZATION; PRODUCT; GEOGRAPHICAL_AREA; CURRENCY,Single Customer View (Master Record); Master & Reference Data - product; Master & Reference Data - geography / location; Master & Reference Data - staff / colleague; Master & Reference Data - Channel; Master & Reference Data - Campaign; Master & Reference Data - FTP rates; Master & Reference Data - exchange rates; Master & Reference Data - merchant / transaction; Master & Reference Data - organisation hierarchy; Master & Reference Data - Risk Policy Rules,MDM maturity determines quality of dimension data in profitability star schema,3
67,Master Data Management,"Do you have a mechanism and rules in place to detect bad, inaccurate, or duplicate data? To what deg",Party; Product; Location; Agreement,PARTY; INDIVIDUAL; ORGANIZATION; PRODUCT; GEOGRAPHICAL_AREA; CURRENCY,Single Customer View (Master Record); Master & Reference Data - product; Master & Reference Data - geography / location; Master & Reference Data - staff / colleague; Master & Reference Data - Channel; Master & Reference Data - Campaign; Master & Reference Data - FTP rates; Master & Reference Data - exchange rates; Master & Reference Data - merchant / transaction; Master & Reference Data - organisation hierarchy; Master & Reference Data - Risk Policy Rules,MDM maturity determines quality of dimension data in profitability star schema,3
68,Master Data Management,Is there a set of MDM SLAs agreed on between the business and IT?,Party; Product; Location; Agreement,PARTY; INDIVIDUAL; ORGANIZATION; PRODUCT; GEOGRAPHICAL_AREA; CURRENCY,Single Customer View (Master Record); Master & Reference Data - product; Master & Reference Data - geography / location; Master & Reference Data - staff / colleague; Master & Reference Data - Channel; Master & Reference Data - Campaign; Master & Reference Data - FTP rates; Master & Reference Data - exchange rates; Master & Reference Data - merchant / transaction; Master & Reference Data - organisation hierarchy; Master & Reference Data - Risk Policy Rules,MDM maturity determines quality of dimension data in profitability star schema,3
69,Master Data Management,"Does master data at your company undergo a structured and automated process to be corrected, cleanse",Party; Product; Location; Agreement,PARTY; INDIVIDUAL; ORGANIZATION; PRODUCT; GEOGRAPHICAL_AREA; CURRENCY,Single Customer View (Master Record); Master & Reference Data - product; Master & Reference Data - geography / location; Master & Reference Data - staff / colleague; Master & Reference Data - Channel; Master & Reference Data - Campaign; Master & Reference Data - FTP rates; Master & Reference Data - exchange rates; Master & Reference Data - merchant / transaction; Master & Reference Data - organisation hierarchy; Master & Reference Data - Risk Policy Rules,MDM maturity determines quality of dimension data in profitability star schema,3
70,Master Data Management,"Does the data warehouse act as a publisher for master data? In other words, is there bidirectional f",Party; Product; Location; Agreement,PARTY; INDIVIDUAL; ORGANIZATION; PRODUCT; GEOGRAPHICAL_AREA; CURRENCY,Single Customer View (Master Record); Master & Reference Data - product; Master & Reference Data - geography / location; Master & Reference Data - staff / colleague; Master & Reference Data - Channel; Master & Reference Data - Campaign; Master & Reference Data - FTP rates; Master & Reference Data - exchange rates; Master & Reference Data - merchant / transaction; Master & Reference Data - organisation hierarchy; Master & Reference Data - Risk Policy Rules,MDM maturity determines quality of dimension data in profitability star schema,3
71,Master Data Management,Do you store and track historical changes to your master data?,Party; Product; Location; Agreement,PARTY; INDIVIDUAL; ORGANIZATION; PRODUCT; GEOGRAPHICAL_AREA; CURRENCY,Single Customer View (Master Record); Master & Reference Data - product; Master & Reference Data - geography / location; Master & Reference Data - staff / colleague; Master & Reference Data - Channel; Master & Reference Data - Campaign; Master & Reference Data - FTP rates; Master & Reference Data - exchange rates; Master & Reference Data - merchant / transaction; Master & Reference Data - organisation hierarchy; Master & Reference Data - Risk Policy Rules,MDM maturity determines quality of dimension data in profitability star schema,3
72,Master Data Management,Do you have insight into the hierarchies and relationships between master data records?,Party; Product; Location; Agreement,PARTY; INDIVIDUAL; ORGANIZATION; PRODUCT; GEOGRAPHICAL_AREA; CURRENCY,Single Customer View (Master Record); Master & Reference Data - product; Master & Reference Data - geography / location; Master & Reference Data - staff / colleague; Master & Reference Data - Channel; Master & Reference Data - Campaign; Master & Reference Data - FTP rates; Master & Reference Data - exchange rates; Master & Reference Data - merchant / transaction; Master & Reference Data - organisation hierarchy; Master & Reference Data - Risk Policy Rules,MDM maturity determines quality of dimension data in profitability star schema,3
73,Master Data Management,Do you produce data quality metrics on your master data? How frequently are those metrics refreshed ,Party; Product; Location; Agreement,PARTY; INDIVIDUAL; ORGANIZATION; PRODUCT; GEOGRAPHICAL_AREA; CURRENCY,Single Customer View (Master Record); Master & Reference Data - product; Master & Reference Data - geography / location; Master & Reference Data - staff / colleague; Master & Reference Data - Channel; Master & Reference Data - Campaign; Master & Reference Data - FTP rates; Master & Reference Data - exchange rates; Master & Reference Data - merchant / transaction; Master & Reference Data - organisation hierarchy; Master & Reference Data - Risk Policy Rules,MDM maturity determines quality of dimension data in profitability star schema,3
74,Master Data Management,Are the business rules related to your master data documented in the DW metadata repository?,Party; Product; Location; Agreement,PARTY; INDIVIDUAL; ORGANIZATION; PRODUCT; GEOGRAPHICAL_AREA; CURRENCY,Single Customer View (Master Record); Master & Reference Data - product; Master & Reference Data - geography / location; Master & Reference Data - staff / colleague; Master & Reference Data - Channel; Master & Reference Data - Campaign; Master & Reference Data - FTP rates; Master & Reference Data - exchange rates; Master & Reference Data - merchant / transaction; Master & Reference Data - organisation hierarchy; Master & Reference Data - Risk Policy Rules,MDM maturity determines quality of dimension data in profitability star schema,3
75,Master Data Management,How are changes in master data elements communicated and synchronized across the enterprise?,Party; Product; Location; Agreement,PARTY; INDIVIDUAL; ORGANIZATION; PRODUCT; GEOGRAPHICAL_AREA; CURRENCY,Single Customer View (Master Record); Master & Reference Data - product; Master & Reference Data - geography / location; Master & Reference Data - staff / colleague; Master & Reference Data - Channel; Master & Reference Data - Campaign; Master & Reference Data - FTP rates; Master & Reference Data - exchange rates; Master & Reference Data - merchant / transaction; Master & Reference Data - organisation hierarchy; Master & Reference Data - Risk Policy Rules,MDM maturity determines quality of dimension data in profitability star schema,3
76,Master Data Management,How does your organization ensure that different systems use data in the same manner and get the sam,Party; Product; Location; Agreement,PARTY; INDIVIDUAL; ORGANIZATION; PRODUCT; GEOGRAPHICAL_AREA; CURRENCY,Single Customer View (Master Record); Master & Reference Data - product; Master & Reference Data - geography / location; Master & Reference Data - staff / colleague; Master & Reference Data - Channel; Master & Reference Data - Campaign; Master & Reference Data - FTP rates; Master & Reference Data - exchange rates; Master & Reference Data - merchant / transaction; Master & Reference Data - organisation hierarchy; Master & Reference Data - Risk Policy Rules,MDM maturity determines quality of dimension data in profitability star schema,3
77,Metadata Management,"Is Metadata captured along with the data?  Is this business Metadata, operational or technical metad",Party; Agreement; Event; Product; Location,All domains - metadata catalog,,Metadata enables profitability data lineage and audit trail,2
78,Metadata Management,Are data fields consistently defined across the organization?,Party; Agreement; Event; Product; Location,All domains - metadata catalog,,Metadata enables profitability data lineage and audit trail,2
79,Metadata Management,"Are you able to meet your regulatory requirements for data lineage, etc.?  Describe the challenges a",Party; Agreement; Event; Product; Location,All domains - metadata catalog,,Metadata enables profitability data lineage and audit trail,2
80,Metadata Management,"Describe the tools, processes, and techniques used to capture metadata information.   How is metadat",Party; Agreement; Event; Product; Location,All domains - metadata catalog,,Metadata enables profitability data lineage and audit trail,2
81,Metadata Management,Who owns and manages metadata?  How do owners communicate changes or challenges?,Party; Agreement; Event; Product; Location,All domains - metadata catalog,,Metadata enables profitability data lineage and audit trail,2
82,Metadata Management,"What are you SMART goals, metrics, and KPI’s associated with metadata management?",Party; Agreement; Event; Product; Location,All domains - metadata catalog,,Metadata enables profitability data lineage and audit trail,2
83,Metadata Management,How frequently is the metadata content refreshed?  What governance process is followed to standardiz,Party; Agreement; Event; Product; Location,All domains - metadata catalog,,Metadata enables profitability data lineage and audit trail,2
84,Metadata Management,What is the governance process followed to add new metadata sources?  Is it based on business value ,Party; Agreement; Event; Product; Location,All domains - metadata catalog,,Metadata enables profitability data lineage and audit trail,2
85,Metadata Management,"Is there a single, standard tool and methodology for accessing the metadata?  Describe.",Party; Agreement; Event; Product; Location,All domains - metadata catalog,,Metadata enables profitability data lineage and audit trail,2
86,Metadata Management,"How is metadata being used in the enterprise?  Examples could include data lineage, standardizing tr",Party; Agreement; Event; Product; Location,All domains - metadata catalog,,Metadata enables profitability data lineage and audit trail,2
87,Metadata Management,Do data stewards or other data governance organizations establish and communicate metadata standards,Party; Agreement; Event; Product; Location,All domains - metadata catalog,,Metadata enables profitability data lineage and audit trail,2
88,Metadata Management,"How do end users access definitions, transformation rules, and metric formulas?",Party; Agreement; Event; Product; Location,All domains - metadata catalog,,Metadata enables profitability data lineage and audit trail,2
89,Metadata Management,Is Metadata seen as a valuable asset or a constraint?,Party; Agreement; Event; Product; Location,All domains - metadata catalog,,Metadata enables profitability data lineage and audit trail,2
90,Metadata Management,"What standards are being used while retrieving, transforming, and storing metadata?",Party; Agreement; Event; Product; Location,All domains - metadata catalog,,Metadata enables profitability data lineage and audit trail,2
91,Metadata Management,Is there training available for end users and metadata developers?,Party; Agreement; Event; Product; Location,All domains - metadata catalog,,Metadata enables profitability data lineage and audit trail,2
92,Data Organisation,"Does your organisation make use of different data states and concepts, such as Data Lake, Data Wareh",Party; Agreement; Event; Product; Location,All domains - logical organization,,Logical data organization affects query performance for profitability calculations,2
93,Data Organisation,Does each data concept have a defined level of data governance?,Party; Agreement; Event; Product; Location,All domains - logical organization,,Logical data organization affects query performance for profitability calculations,2
94,Data Organisation,Does each data concept have a defined level of data integration?,Party; Agreement; Event; Product; Location,All domains - logical organization,,Logical data organization affects query performance for profitability calculations,2
95,Data Organisation,Does each data concept have a defined level of data quality?,Party; Agreement; Event; Product; Location,All domains - logical organization,,Logical data organization affects query performance for profitability calculations,2
96,Data Organisation,How are data states organised across the different data concepts?,Party; Agreement; Event; Product; Location,All domains - logical organization,,Logical data organization affects query performance for profitability calculations,2
97,Data Organisation,Does your organisation have a data lake? What is its main purpose?,Party; Agreement; Event; Product; Location,All domains - logical organization,,Logical data organization affects query performance for profitability calculations,2
98,Data Organisation,Does your organisation have a data warehouse? Is it integrated?,Party; Agreement; Event; Product; Location,All domains - logical organization,,Logical data organization affects query performance for profitability calculations,2
99,Data Organisation,"Are the data lake and data warehouse integrated in any way. For example, the data lake may provide s",Party; Agreement; Event; Product; Location,All domains - logical organization,,Logical data organization affects query performance for profitability calculations,2
100,Data Centricity,Do your data assets require a detailed level of definition to allow you to exploit the data asset?,Party; Agreement,PARTY; INDIVIDUAL; ORGANIZATION; AGREEMENT; INVOLVED_PARTY,Single Customer View (Master Record); Customer Demographics; KYC Data,Customer-centric data design enables customer-level profitability,3
101,Data Centricity,Do you data assets require a detailed level of defintion to provide value to the organisation?,Party; Agreement,PARTY; INDIVIDUAL; ORGANIZATION; AGREEMENT; INVOLVED_PARTY,Single Customer View (Master Record); Customer Demographics; KYC Data,Customer-centric data design enables customer-level profitability,3
102,Data Tiers,Do you know what state of data you need to answer your business questions or perform the required an,Party; Agreement; Event; Product,All domains - tiering assessment,,Data tiering affects historical profitability trend availability,2
103,Data Tiers,What different levels of refinement does your data pass through?,Party; Agreement; Event; Product,All domains - tiering assessment,,Data tiering affects historical profitability trend availability,2
104,Data Tiers,What level of sharing and reuseability is achieved with your data assets?,Party; Agreement; Event; Product,All domains - tiering assessment,,Data tiering affects historical profitability trend availability,2
105,Data Usage Zones,Does  your organisation have a Discovery/Exploration data zone that allows you to explore the value ,Party; Agreement; Event; Product,All domains - zone classification,,Analytics sandboxes enable profitability model development,2
106,Data Usage Zones,Does your organisation have a process that allows new valuable data to be published into the operati,Party; Agreement; Event; Product,All domains - zone classification,,Analytics sandboxes enable profitability model development,2
107,Security and Privacy,"Does the company have a formal, published data security and privacy policy describing why customer d",Party,PARTY; INDIVIDUAL; PARTY_IDENTIFICATION; CONTACT_POINT,KYC Data; Customer Demographics,Privacy constraints may limit customer-level profitability granularity,2
108,Security and Privacy,Is there an organizational function that is responsible for establishing the policies and auditing t,Party,PARTY; INDIVIDUAL; PARTY_IDENTIFICATION; CONTACT_POINT,KYC Data; Customer Demographics,Privacy constraints may limit customer-level profitability granularity,2
109,Security and Privacy,Is there someone in the company with the official title of Head of Information Security or Chief Inf,Party,PARTY; INDIVIDUAL; PARTY_IDENTIFICATION; CONTACT_POINT,KYC Data; Customer Demographics,Privacy constraints may limit customer-level profitability granularity,2
110,Security and Privacy,"What are the regulations in your industry with which you are most concerned?  For example,GDPR or Sa",Party,PARTY; INDIVIDUAL; PARTY_IDENTIFICATION; CONTACT_POINT,KYC Data; Customer Demographics,Privacy constraints may limit customer-level profitability granularity,2
111,Security and Privacy,"Is there a formal privacy policy that defines data privacy, access control, and auditing requirement",Party,PARTY; INDIVIDUAL; PARTY_IDENTIFICATION; CONTACT_POINT,KYC Data; Customer Demographics,Privacy constraints may limit customer-level profitability granularity,2
112,Security and Privacy,"Does the privacy policy incorporate all standard privacy principles including: Accountability, Notic",Party,PARTY; INDIVIDUAL; PARTY_IDENTIFICATION; CONTACT_POINT,KYC Data; Customer Demographics,Privacy constraints may limit customer-level profitability granularity,2
