Data_Requirement,FSDM_Subject_Area,Capabilities_Using,Capability_Count
Single Customer View (Master Record),Party,"Transaction Classification; Predictive Models; Event Detection; Customer Value; Customer, Product & Channel  insight; Conduct  Risk Monitoring; Insight Led Customer Strategy; Customer Segmentation; Big Data Analytics; Customer Managed Relationships; Scope of Contact; Omni Channel Campaign Management; Creation & Management of Offers and Content; Multi-Step Dialogue; Personalisation; Rapid Prototyping supports Test & Learn; Next Best Action Arbitration; Contextual Decisioning; Single Interaction View of Customer; Campaign ROI Reporting by Channel; Marketing Attribution MI across all channels; Strategy Monitoring; Complaints Root Cause Analysis MI; Application and New Business Written; Single Customer View from a Risk Perspective; Policy, Forensics and Underwriter Rules; Can’t Pay, Won’t Pay and Collusion; Roll and Rehabilitation Rates; Capital Management (Planning and Allocation); Capital Consumption; Risk Appetite; Pre-Default Transaction Analytics; Credit Risk Scoring (Underwriting Likelihood Model); Credit Risk Expected Loss Model; Credit Risk Underwriting/Monitoring Strategy Model; Credit Risk Capital, CVaR Modelling; Credit Risk Based Pricing Model; Collection Score (Likelihood Model); Expected Collection Amount; Collection Strategy Model; Fraud and Money Laundering Likelihood Model; Fraud and Money Laundering Loss Modelling; Fraud and Money Laundering Strategy Modelling; Operational Risk / Cybercrime Likelihood; Operational Risk / Cybercrime Expected Loss; Operational Risk / Cybercrime Strategy Model; Business Rules Directory; Regulatory Threshold Calculation; Risk Based Price Calculation; Active Portfolio Management; Dynamic Datastore; Credit Risk model Deployment; Risk Weighted Assets and Regulatory Capital; A/B and Test and Learn Deployment; Real Time Threat Detection; New Business MI & Reporting; Model Performance Analytics; Portfolio MI & Portfolio Performance Analytics; Collections MI; Regulatory Reporting and Information Sharing; Strategy (Rules) Performance MI; Fair Value & Hedge Accounting; Reconciliation, Validation & Adjustments; Activity Based Costing; Profitability Modelling; Future / Lifetime Value; Profitability Analytics and Optimisation; Performance Management and KPIs; Pricing Analysis & Optimisation; Financial Budgeting, Planning & Forecasting; Business Process Analytics & Optimisation; Capital Planning and Management; FX & Trading Book Management; Interest Rate Management; Statutory Financial Reporting; Regulatory & Compliance Reporting; Sales Reporting; Performance Reporting; Exception Reporting; Executive Dashboards; Operational Dashboard & Decisioning",81
KYC Data,Party,"Event Detection; Customer, Product & Channel  insight; Conduct  Risk Monitoring; Big Data Analytics; Customer Managed Relationships; Regulatory & Audit Compliance; Next Best Action Arbitration; Application and New Business Written; Single Customer View from a Risk Perspective; Policy, Forensics and Underwriter Rules; Can’t Pay, Won’t Pay and Collusion; Pre-Default Transaction Analytics; Credit Risk Scoring (Underwriting Likelihood Model); Credit Risk Expected Loss Model; Credit Risk Underwriting/Monitoring Strategy Model; Credit Risk Based Pricing Model; Collection Score (Likelihood Model); Expected Collection Amount; Collection Strategy Model; Fraud and Money Laundering Likelihood Model; Fraud and Money Laundering Loss Modelling; Fraud and Money Laundering Strategy Modelling; Operational Risk / Cybercrime Likelihood; Operational Risk / Cybercrime Expected Loss; Operational Risk / Cybercrime Strategy Model; Business Rules Directory; Risk Based Price Calculation; Active Portfolio Management; Dynamic Datastore; Credit Risk model Deployment; A/B and Test and Learn Deployment; Real Time Threat Detection; New Business MI & Reporting; Model Performance Analytics; Portfolio MI & Portfolio Performance Analytics; Collections MI; Regulatory Reporting and Information Sharing; Strategy (Rules) Performance MI; Regulatory & Compliance Reporting; Performance Reporting; Exception Reporting; Executive Dashboards; Operational Dashboard & Decisioning",43
Customer Demographics,Party,"Event Detection; Customer, Product & Channel  insight; Insight Led Customer Strategy; Big Data Analytics; Customer Managed Relationships; Scope of Contact; Customer Contact Policy; Omni Channel Campaign Management; Multi-Step Dialogue; Personalisation; Rapid Prototyping supports Test & Learn; Regulatory & Audit Compliance; Channel Coverage; Real Time Omni-Channel  Integration; Next Best Action Arbitration; Contextual Decisioning; Recycle Unused Leads into alternative channels; Lead & Contact Management; Channel Support & Engagement; NPS MI & Drill Down; Strategy Monitoring; Complaints Root Cause Analysis MI; Attrition Root Cause Analysis MI; Application and New Business Written; Single Customer View from a Risk Perspective; Policy, Forensics and Underwriter Rules; Can’t Pay, Won’t Pay and Collusion; Roll and Rehabilitation Rates; Capital Management (Planning and Allocation); Capital Consumption; Risk Appetite; Pre-Default Transaction Analytics; Credit Risk Scoring (Underwriting Likelihood Model); Credit Risk Expected Loss Model; Credit Risk Underwriting/Monitoring Strategy Model; Credit Risk Capital, CVaR Modelling; Credit Risk Based Pricing Model; Collection Score (Likelihood Model); Expected Collection Amount; Collection Strategy Model; Fraud and Money Laundering Likelihood Model; Fraud and Money Laundering Loss Modelling; Fraud and Money Laundering Strategy Modelling; Operational Risk / Cybercrime Likelihood; Operational Risk / Cybercrime Expected Loss; Operational Risk / Cybercrime Strategy Model; Market & Liquidity Risk Likelihood Modelling; Market & Liquidity Risk Strategy Modelling; Market & Liquidity Value at Risk (M-VaR) Modelling; Business Rules Directory; Regulatory Threshold Calculation; Risk Based Price Calculation; Active Portfolio Management; Dynamic Datastore; Credit Risk model Deployment; Risk Weighted Assets and Regulatory Capital; A/B and Test and Learn Deployment; Real Time Threat Detection; New Business MI & Reporting; Model Performance Analytics; Portfolio MI & Portfolio Performance Analytics; Collections MI; Regulatory Reporting and Information Sharing; Strategy (Rules) Performance MI; Financial Accounting / Accounting Hub; Functional Profit & Loss Statement (P&L); Fair Value & Hedge Accounting; Reconciliation, Validation & Adjustments; Tax Management & Optimisation; Activity Based Costing; Profitability Modelling; Future / Lifetime Value; Profitability Analytics and Optimisation; Performance Management and KPIs; Pricing Analysis & Optimisation; Financial Budgeting, Planning & Forecasting; Business Process Analytics & Optimisation; Funds Transfer Pricing; Asset & Liability Management; Capital Planning and Management; Cashflow Generation; Liquidity Management; FX & Trading Book Management; Interest Rate Management; Statutory Financial Reporting; Regulatory & Compliance Reporting; Sales Reporting; Performance Reporting; Exception Reporting; Executive Dashboards; Operational Dashboard & Decisioning",91
Customer Attitudinal Data,Party,"Customer, Product & Channel  insight; Insight Led Customer Strategy; Big Data Analytics; Scope of Contact; Customer Contact Policy; Omni Channel Campaign Management; Personalisation; Rapid Prototyping supports Test & Learn; Contextual Decisioning; NPS MI & Drill Down; Application and New Business Written; Policy, Forensics and Underwriter Rules; Can’t Pay, Won’t Pay and Collusion; Pre-Default Transaction Analytics; Credit Risk Scoring (Underwriting Likelihood Model); Credit Risk Expected Loss Model; Credit Risk Underwriting/Monitoring Strategy Model; Credit Risk Based Pricing Model; Collection Score (Likelihood Model); Expected Collection Amount; Collection Strategy Model; Fraud and Money Laundering Likelihood Model; Fraud and Money Laundering Loss Modelling; Fraud and Money Laundering Strategy Modelling; Operational Risk / Cybercrime Likelihood; Operational Risk / Cybercrime Expected Loss; Operational Risk / Cybercrime Strategy Model; Business Rules Directory; Risk Based Price Calculation; Active Portfolio Management; Dynamic Datastore; Credit Risk model Deployment; A/B and Test and Learn Deployment; Real Time Threat Detection; New Business MI & Reporting; Model Performance Analytics; Portfolio MI & Portfolio Performance Analytics; Collections MI; Strategy (Rules) Performance MI; Profitability Analytics and Optimisation; Pricing Analysis & Optimisation; Performance Reporting; Exception Reporting; Executive Dashboards; Operational Dashboard & Decisioning",45
Customer Segments,Party,"Predictive Models; Event Detection; Customer Value; Customer, Product & Channel  insight; Conduct  Risk Monitoring; Insight Led Customer Strategy; Big Data Analytics; Customer Managed Relationships; Scope of Contact; Customer Contact Policy; Campaign Business Cases; Omni Channel Campaign Management; Multi-Step Dialogue; Personalisation; Rapid Prototyping supports Test & Learn; Regulatory & Audit Compliance; Channel Coverage; Real Time Omni-Channel  Integration; Next Best Action Arbitration; Contextual Decisioning; Recycle Unused Leads into alternative channels; Lead & Contact Management; NPS MI & Drill Down; Strategy Monitoring; Contact Frequency Monitoring; Complaints Root Cause Analysis MI; Attrition Root Cause Analysis MI; Application and New Business Written; Single Customer View from a Risk Perspective; Policy, Forensics and Underwriter Rules; Can’t Pay, Won’t Pay and Collusion; Roll and Rehabilitation Rates; Capital Management (Planning and Allocation); Capital Consumption; Risk Appetite; Pre-Default Transaction Analytics; Credit Risk Scoring (Underwriting Likelihood Model); Credit Risk Expected Loss Model; Credit Risk Underwriting/Monitoring Strategy Model; Credit Risk Capital, CVaR Modelling; Credit Risk Based Pricing Model; Collection Score (Likelihood Model); Expected Collection Amount; Collection Strategy Model; Fraud and Money Laundering Likelihood Model; Fraud and Money Laundering Loss Modelling; Fraud and Money Laundering Strategy Modelling; Operational Risk / Cybercrime Likelihood; Operational Risk / Cybercrime Expected Loss; Operational Risk / Cybercrime Strategy Model; Market & Liquidity Risk Likelihood Modelling; Market & Liquidity Risk Strategy Modelling; Market & Liquidity Value at Risk (M-VaR) Modelling; Business Rules Directory; Regulatory Threshold Calculation; Risk Based Price Calculation; Active Portfolio Management; Dynamic Datastore; Credit Risk model Deployment; Risk Weighted Assets and Regulatory Capital; A/B and Test and Learn Deployment; Real Time Threat Detection; New Business MI & Reporting; Model Performance Analytics; Portfolio MI & Portfolio Performance Analytics; Collections MI; Regulatory Reporting and Information Sharing; Strategy (Rules) Performance MI; Financial Accounting / Accounting Hub; Functional Profit & Loss Statement (P&L); Fair Value & Hedge Accounting; Reconciliation, Validation & Adjustments; Tax Management & Optimisation; Activity Based Costing; Profitability Modelling; Future / Lifetime Value; Profitability Analytics and Optimisation; Performance Management and KPIs; Pricing Analysis & Optimisation; Financial Budgeting, Planning & Forecasting; Business Process Analytics & Optimisation; Funds Transfer Pricing; Asset & Liability Management; Capital Planning and Management; Cashflow Generation; Liquidity Management; FX & Trading Book Management; Interest Rate Management; Statutory Financial Reporting; Regulatory & Compliance Reporting; Sales Reporting; Performance Reporting; Exception Reporting; Executive Dashboards; Operational Dashboard & Decisioning",95
Customer Contact Preferences,Party,"Predictive Models; Event Detection; Customer, Product & Channel  insight; Insight Led Customer Strategy; Customer Segmentation; Big Data Analytics; Scope of Contact; Customer Contact Policy; Campaign Business Cases; Omni Channel Campaign Management; Creation & Management of Offers and Content; Multi-Step Dialogue; Personalisation; Rapid Prototyping supports Test & Learn; Channel Coverage; Real Time Omni-Channel  Integration; Next Best Action Arbitration; Contextual Decisioning; Recycle Unused Leads into alternative channels; Lead & Contact Management; Channel Support & Engagement; Strategy Monitoring; Contact Frequency Monitoring; Complaints Root Cause Analysis MI; Application and New Business Written; Credit Risk Scoring (Underwriting Likelihood Model); Credit Risk Expected Loss Model; Credit Risk Underwriting/Monitoring Strategy Model; Credit Risk Based Pricing Model; Collection Score (Likelihood Model); Expected Collection Amount; Collection Strategy Model; Fraud and Money Laundering Likelihood Model; Fraud and Money Laundering Loss Modelling; Fraud and Money Laundering Strategy Modelling; Operational Risk / Cybercrime Likelihood; Operational Risk / Cybercrime Expected Loss; Operational Risk / Cybercrime Strategy Model; Business Rules Directory; Risk Based Price Calculation; Active Portfolio Management; Dynamic Datastore; Credit Risk model Deployment; A/B and Test and Learn Deployment; Real Time Threat Detection; New Business MI & Reporting; Model Performance Analytics; Portfolio MI & Portfolio Performance Analytics; Collections MI; Strategy (Rules) Performance MI; Sales Reporting; Performance Reporting; Exception Reporting; Executive Dashboards; Operational Dashboard & Decisioning",55
Customer Marketing Preferences,Party,"Event Detection; Customer, Product & Channel  insight; Conduct  Risk Monitoring; Insight Led Customer Strategy; Big Data Analytics; Scope of Contact; Customer Contact Policy; Campaign Business Cases; Omni Channel Campaign Management; Creation & Management of Offers and Content; Multi-Step Dialogue; Personalisation; Rapid Prototyping supports Test & Learn; Regulatory & Audit Compliance; Channel Coverage; Real Time Omni-Channel  Integration; Next Best Action Arbitration; Contextual Decisioning; Recycle Unused Leads into alternative channels; Lead & Contact Management; Channel Support & Engagement; Strategy Monitoring; Contact Frequency Monitoring; Complaints Root Cause Analysis MI; Application and New Business Written; Credit Risk Scoring (Underwriting Likelihood Model); Credit Risk Expected Loss Model; Credit Risk Underwriting/Monitoring Strategy Model; Credit Risk Based Pricing Model; Collection Score (Likelihood Model); Expected Collection Amount; Collection Strategy Model; Fraud and Money Laundering Likelihood Model; Fraud and Money Laundering Loss Modelling; Fraud and Money Laundering Strategy Modelling; Operational Risk / Cybercrime Likelihood; Operational Risk / Cybercrime Expected Loss; Operational Risk / Cybercrime Strategy Model; Business Rules Directory; Risk Based Price Calculation; Active Portfolio Management; Dynamic Datastore; Credit Risk model Deployment; A/B and Test and Learn Deployment; Real Time Threat Detection; New Business MI & Reporting; Model Performance Analytics; Portfolio MI & Portfolio Performance Analytics; Collections MI; Strategy (Rules) Performance MI; Sales Reporting; Performance Reporting; Exception Reporting; Executive Dashboards; Operational Dashboard & Decisioning",55
Customer Satisfaction Measurement (E.g. NPS),Party,"Customer, Product & Channel  insight; Conduct  Risk Monitoring; Big Data Analytics; Customer Managed Relationships; Scope of Contact; Customer Contact Policy; Omni Channel Campaign Management; Personalisation; Rapid Prototyping supports Test & Learn; Regulatory & Audit Compliance; Real Time Omni-Channel  Integration; Next Best Action Arbitration; Contextual Decisioning; NPS MI & Drill Down; Strategy Monitoring; Contact Frequency Monitoring; Complaints Root Cause Analysis MI; Attrition Root Cause Analysis MI; Application and New Business Written; Credit Risk Scoring (Underwriting Likelihood Model); Credit Risk Expected Loss Model; Credit Risk Underwriting/Monitoring Strategy Model; Credit Risk Based Pricing Model; Collection Score (Likelihood Model); Expected Collection Amount; Collection Strategy Model; Fraud and Money Laundering Likelihood Model; Fraud and Money Laundering Loss Modelling; Fraud and Money Laundering Strategy Modelling; Operational Risk / Cybercrime Likelihood; Operational Risk / Cybercrime Expected Loss; Operational Risk / Cybercrime Strategy Model; Business Rules Directory; Risk Based Price Calculation; Active Portfolio Management; Dynamic Datastore; Credit Risk model Deployment; A/B and Test and Learn Deployment; Real Time Threat Detection; New Business MI & Reporting; Model Performance Analytics; Portfolio MI & Portfolio Performance Analytics; Collections MI; Strategy (Rules) Performance MI; Profitability Analytics and Optimisation; Performance Management and KPIs; Pricing Analysis & Optimisation; Performance Reporting; Exception Reporting; Executive Dashboards; Operational Dashboard & Decisioning",51
Economic Forecast Data,Party,"Insight Led Customer Strategy; Big Data Analytics; Strategy Monitoring; Complaints Root Cause Analysis MI; Credit Risk Based Pricing Model; Collection Score (Likelihood Model); Expected Collection Amount; Collection Strategy Model; Fraud and Money Laundering Likelihood Model; Fraud and Money Laundering Loss Modelling; Fraud and Money Laundering Strategy Modelling; Operational Risk / Cybercrime Likelihood; Operational Risk / Cybercrime Expected Loss; Operational Risk / Cybercrime Strategy Model; Business Rules Directory; Risk Based Price Calculation; Active Portfolio Management; Dynamic Datastore; A/B and Test and Learn Deployment; Real Time Threat Detection; Model Performance Analytics; Portfolio MI & Portfolio Performance Analytics; Collections MI; Activity Based Costing; Future / Lifetime Value; Profitability Analytics and Optimisation; Financial Budgeting, Planning & Forecasting; Capital Planning and Management",28
Legal Actions,Party,"Conduct  Risk Monitoring; Big Data Analytics; Policy, Forensics and Underwriter Rules; Can’t Pay, Won’t Pay and Collusion; Capital Management (Planning and Allocation); Credit Risk Scoring (Underwriting Likelihood Model); Credit Risk Expected Loss Model; Credit Risk Underwriting/Monitoring Strategy Model; Credit Risk Capital, CVaR Modelling; Credit Risk Based Pricing Model; Collection Score (Likelihood Model); Expected Collection Amount; Collection Strategy Model; Fraud and Money Laundering Likelihood Model; Fraud and Money Laundering Loss Modelling; Fraud and Money Laundering Strategy Modelling; Operational Risk / Cybercrime Likelihood; Operational Risk / Cybercrime Expected Loss; Operational Risk / Cybercrime Strategy Model; Operational Risk Capital and OPVaR; Market & Liquidity Risk Likelihood Modelling; Market & Liquidity Risk Strategy Modelling; Market & Liquidity Value at Risk (M-VaR) Modelling; Business Rules Directory; Regulatory Threshold Calculation; Risk Based Price Calculation; Active Portfolio Management; Dynamic Datastore; Credit Risk model Deployment; Risk Weighted Assets and Regulatory Capital; A/B and Test and Learn Deployment; Real Time Threat Detection; Model Performance Analytics; Portfolio MI & Portfolio Performance Analytics; Collections MI; Regulatory Reporting and Information Sharing; Strategy (Rules) Performance MI; Activity Based Costing; Profitability Modelling; Asset & Liability Management; Regulatory & Compliance Reporting; Performance Reporting; Exception Reporting; Executive Dashboards; Operational Dashboard & Decisioning",45
