"Entity","Domain","Column_Count","Relationship_Count","Parent_Entity","Subtype_Count","Description"
"ACCESS_DEVICE","Other","4","16","","2","A means by which a customer has access to one or more accounts or services provided by the enterprise. Examples of types of devices include credit card plastic, key chain card, cell phone, and personal computer. A device may access more than one account such as both credit card and banking accounts."
"ACCESS_DEVICE_ACTIVATE_EVENT","Event Management","1","1","DIRECT_CONTACT_EVENT","0","A type of CONTACT EVENT whereby an ACCESS DEVICE such as a CREDIT CARD is activated using a channel such as a telephone."
"ACCESS_DEVICE_DESCRIPTIVE_FEATURE","Product Management","0","0","DESCRIPTIVE_FEATURE","0","This is a type of descriptive feature that indicates that an access device such as credit, debit, or ATM card is an available feature for an account."
"ACCESS_DEVICE_EVENT","Event Management","5","4","EVENT","1","This entity is a subtype to EVENT and contains only those events that involve an account ACCESS DEVICE (e.g., credit, ATM, debit, smart, and mobile phone).  For purchase events using an access device such as a credit or debit card, the events could include the authorization event and the response ev"
"ACCESS_DEVICE_EVENT_RISK_REASON_TYPE","Risk Management","2","1","","0","This is the technical response code that was returned to the merchant regarding the risk of approving this transaction. This may be triggered by a rule in the authorization engine."
"ACCESS_DEVICE_FEATURE","Product Management","2","2","","0","Identifies characteristics associated with an ACCESS DEVICE such as color, shape, size, and image of the device."
"ACCESS_DEVICE_LIMIT","Other","8","4","","0","This entity identifies the types of limits that apply to ACCESS DEVICEs. For example, an ATM card may have a maximum amount that can be withdrawn per day, or a maximum number of transactions per day."
"ACCESS_DEVICE_METHOD_TYPE","Other","2","1","","0","This minor entity describes the access method of an access device event such as magnetic stripe, chip, and optical."
"ACCESS_DEVICE_PIN","Other","6","2","","0","This entity tracks the issue dates of a PIN (Personal Identification Number), the mailing dates and the reasons for issue (first issue, replacement). This will be used for any kind of account ACCESS DEVICE.  The actual PIN value may not be kept in the data warehouse. There may also be more than one "
"ACCESS_DEVICE_PIN_REASON_TYPE","Other","2","1","","0","This minor entity describes the reason a PIN number is issued to an ACCESS DEVICE.  Examples: - First issue - Replacement"
"ACCESS_DEVICE_REASON_TYPE","Other","2","1","","0","This entity provides a description of the reason code associated with the status of an ACCESS DEVICE.  For example, if the status is inactivated then the reasons could be lost, stolen, or over limit."
"ACCESS_DEVICE_RELATED","Other","5","1","","0","This entity defines the relationship between two ACCESS DEVICEs, such as replaces, or issued in combination with."
"ACCESS_DEVICE_RELATED_TYPE","Other","2","1","","0","This minor entity describes the type of relationship between two access devices such as ""replaces."""
"ACCESS_DEVICE_STATUS","Other","4","3","","0","This entity contains the history of the status and reason of the status change of an ACCESS DEVICE.  Status examples include active, not yet active, and inactivated.  Reasons include lost, stolen, and over limit."
"ACCESS_DEVICE_STATUS_TYPE","Other","2","1","","0","This minor entity describes the status of an account access device such as valid, invalid, and no longer in possession of the card."
"ACCESS_DEVICE_SUBTYPE","Other","2","1","","0","This is a code for the type of device such as: - Card - Key card - Mobile phone"
"ACCESS_DEVICE_VERIFICATION_RESPONSE_TYPE","Other","2","1","","0","This is a code for the response that was given during the access device authorization as to whether the access device such as a card passed the verification process. Possible values include: - Matched - Did not match - Not verified"
"ACCESS_DEVICE_VERIFY_TYPE","Other","2","1","","0","This minor entity describes the verification method of an access device event such as PIN, signature, or no verification."
"ACCESS_MEDIUM_TYPE","Other","2","2","","0","This minor entity defines the different access medium types such as debit card, ATM card, credit card, passbook, and mobile phone."
