Question_ID,Category,Section,Question_Text,Emerging,Developing,Practicing,Innovating,Leading,Roles,Industries,Business_Functions,Is_Financial,Is_TBA,Review_Types
1,Business,Summary,"Is there an Executive (or executive position) who champions data and analytics or innovation? (This might include a Chief Data Officer, Chief Analytics Officer, or BICC Executive Sponsor or similar titles).",Organisation structure siloed to focus on localised efforts,Organisation structure supports targeted enterprise needs and initiatives,Business structure supports most enterprise needs & localised efforts,Business organised to deliver and considers operational and broader strategic needs,Business structure adapts to change whilst providing high quality operations,Business Sponsor; Program & Project Management; Power User; End User; C-Level,,,False,False,Big Data Capability Review; Data Warehouse Maturity Review; Ecosystem Architecture Review; AI and Machine Learning Review; Custom Review
2,Business,Summary,Do your Executives get the data and analytic results that they need?,Access to less than half the analytics outputs that are required.,"Access to some of the analytics outputs though missing key components.  Value prop measured at silo-level, not overall",Access to most of the analytics outputs,Access to all data required but analytics are mostly retrospective or time-delayed,Analytics outputs received in real-time and alerts in place on event triggers,Business Sponsor; C-Level,,,False,False,Big Data Capability Review; Data Warehouse Maturity Review; Ecosystem Architecture Review; AI and Machine Learning Review; Custom Review
3,Business,Summary,How effectively is data and analytics used to support business processes?,No analytics are in use.  Decisions are based on gut-feel and historical data,Analytics are occasionally used to advise on strategic decisions,Analytics are available for most decisions and are sometimes used to over-ride gut feel decisions,"Most strategic and tactical decisions are based on analytic outcomes, and some operational decisions are automated based on analytic models",Analytics drives operational and strategic value differentiation from the market,Business Sponsor; Business Analyst; Data Analyst/Modeller/Scientist; Data Engineer; IT Management; Program & Project Management; Power User; End User; C-Level,,,False,False,Big Data Capability Review; Data Warehouse Maturity Review; Ecosystem Architecture Review; AI and Machine Learning Review; Custom Review
4,Business,Summary,"Does your organisation have an ""Analytics as a Service"" function (either internally or contracted externally) where analytics skills (ranging from report developers through to data scientists) are available on call to assist in delivering business outcomes?",,,,,,Business Sponsor; Business Analyst; Data Analyst/Modeller/Scientist; Architect; Data Engineer; IT Management; IT Operations; Program & Project Management; Power User; End User; C-Level,,,False,True,Big Data Capability Review; Data Warehouse Maturity Review; Ecosystem Architecture Review; AI and Machine Learning Review; Custom Review
5,Business,Strategy,How do senior executives communicate the vision and goals? Are their direct reports and their organizations aware of the enterprise vision and goals?  Are their direct reports and their organizations aware of areas specific vision and goals and how those support the enterprise?,There is little or no communication of the analytics vision and goals across the organisation,Inconsistent but improving company communications about the vision and goals. There are separate analytics visions for each business unit or a single corporate goal that is not communicated,"Company goals, vision and status are regularly communicated. Executives work towards formulating a shared analytics vision, understanding how each component works together",Executives champion and promote the broader vision along with how their area contributes to that vision,"Communications channels are used to effectively update the internal organisation, their customers and the broader industry",Business Sponsor; IT Management; Program & Project Management; C-Level,,,False,False,Data Warehouse Maturity Review
6,Business,Strategy,"If you have multiple business units, do they share a common vision for data and analytics?",There is no enterprise vision and minimal collaboration across departments,There is no enterprise vision but there is collaboration across departments,There is a draft vision in place supported by most executives across most departments,There is a shared strategic vision.  Executives champion initiatives,There is shared strategic and operational vision that leads the industry,Business Sponsor; Architect; Program & Project Management; C-Level,,,False,False,Data Warehouse Maturity Review
7,Business,Strategy,Is there a primary driver in your industry that is moving you toward a specific vision or capability?,,,,,,Business Sponsor; Business Analyst; C-Level,,,False,True,Data Warehouse Maturity Review
8,Business,Strategy,Are there regulatory/compliance needs driving your organization’s priorities?,,,,,,Business Sponsor; Architect; IT Management; IT Operations; Program & Project Management; C-Level,,,False,True,Data Warehouse Maturity Review
9,Business,Strategy,What are the business’s biggest challenges in getting the information they need from IT?,,,,,,Business Sponsor; Business Analyst; Architect; C-Level,,,False,True,Data Warehouse Maturity Review
10,Business,Strategy,What are IT’s biggest challenges in providing the data and the tools needed by the business?,,,,,,Business Sponsor; Architect; IT Management; IT Operations,,,False,True,Data Warehouse Maturity Review
11,Business,Strategy,What are your strategic business initiatives for the next 12-18 months? What would the Executives say are the most pressing issues or challenges with analytics or data?,,,,,,Business Sponsor; C-Level,,,False,True,Data Warehouse Maturity Review
12,Business,Strategy,What needs or questions does your business have that is currently not able to be addressed with your existing analytics and data warehouse environment?,,,,,,Business Sponsor; Business Analyst; Data Analyst/Modeller/Scientist; Architect; IT Management; Program & Project Management; Power User; End User; C-Level,,,False,True,Data Warehouse Maturity Review
13,Business,Roadmap,"Who develops the overall data and analytics strategy?  Is there an analytic roadmap? If so, who is responsible for executing and updating the roadmap?",There is no broader business strategy for analytics and data,A business strategy for analytics and data is emerging with a few key metrics defined,A business strategy that has been defined and agreed for data and analytics,A business strategy that shows analytics and data as a key part of the overall organisation strategy is in place and most metrics are defined,The Analytics and Data strategy is a key differentiator and shows how the organisation uses analytics and data now and into the future,Business Sponsor; Architect; IT Management; Program & Project Management,,,False,False,Data Warehouse Maturity Review
